;R	G	B	Name
0.33333	0.19792	0.16667	1
0.33725	0.17278	0.13564	1
0.4	0.236	0.2	1
0.3451	0.18924	0.13973	1
0.33333	0.18967	0.1443	1
0.27843	0.17848	0.14992	1
0.34902	0.18827	0.14122	1
0.2308	0.33329	0.34118	5
0.2323	0.34249	0.37255	5
0.2042	0.27511	0.31765	5
0.28629	0.30668	0.4902	5
0.20882	0.22941	0.35294	5
0.17935	0.22709	0.32941	5
0.19184	0.26232	0.35294	5
0.23263	0.3164	0.42745	5
0.18525	0.23592	0.33725	5
0.19951	0.24027	0.3451	5
0.25082	0.38431	0.36206	5
0.20952	0.28554	0.3451	5
0.23458	0.36863	0.36863	5
0.71315	0.89804	0.52826	2
0.71288	0.89412	0.51955	2
0.68512	0.86275	0.5075	2
0.72488	0.89412	0.52245	2
0.72254	0.93333	0.47312	2
0.70202	0.86667	0.44035	2
0.76397	0.95686	0.5164	2
0.67605	0.8549	0.4972	2
0.74205	0.90588	0.44226	2
0.64038	0.76078	0.40204	2
0.72916	0.90196	0.50273	2
0.63415	0.78824	0.4523	2
0.58392	0.7098	0.38356	2
0.74884	0.91765	0.54387	2
0.74006	0.9098	0.49082	2
0.84314	1	0.68627	2
0.83137	1	0.66274	2
0.82745	1	0.6549	2
0.82157	1	0.64314	2
0.82745	1	0.6549	2
0.83356	0.97255	0.68651	2
0.76358	0.92941	0.59774	2
0.78454	0.94118	0.48245	2
0.70471	0.88235	0.51313	2
0.69173	0.84314	0.5038	2
0.78423	0.94118	0.49781	2
0.79593	0.99216	0.55164	2
0.84066	1	0.68131	2
0.84314	1	0.68627	2
0.84118	1	0.68235	2
0.74902	0.066744	0.31175	3
0.7451	0.069982	0.3148	3
0.7451	0.067019	0.31024	3
0.75686	0.067365	0.31307	3
0.75686	0.074898	0.32372	3
0.74902	0.070803	0.31561	3
0.74118	0.063757	0.30106	3
0.72941	0.06776	0.30595	3
0.72157	0.065972	0.30152	3
0.59216	0.064835	0.25203	3
0.55294	0.060102	0.23504	3
0.72157	0.05788	0.29319	3
0.72941	0.058509	0.29596	3
0.74118	0.061086	0.30241	3
0.59216	0.057571	0.24551	3
0.7098	0.25062	0.51042	3
0.78824	0.27782	0.55623	3
0.78039	0.27665	0.55361	3
0.81176	0.26161	0.55993	3
0.78431	0.27773	0.55573	3
0.94902	0.29401	0.66397	3
0.95294	0.3027	0.67176	3
0.95294	0.30234	0.67232	3
0.90588	0.31262	0.75995	3
1	0.35686	0.80192	3
1	0.34902	0.86389	3
0.96471	0.29509	0.70236	3
0.83922	0.23835	0.57699	3
0.99608	0.32031	0.74451	3
1	0.36471	0.83582	3
0.97647	0.95294	1	8
0.94742	0.9066	0.98824	8
1	0.99664	0.99608	8
0.99765	1	0.98823	8
0.97451	0.94902	1	8
0.94656	0.90489	0.98824	8
0.84131	0.77109	0.90196	8
0.82752	0.74883	0.87843	8
0.96774	0.93548	1	8
0.96732	0.93464	1	8
0.98068	0.96135	1	8
0.9656	0.9312	1	8
0.8655	0.79461	0.92549	8
0.65234	0.74118	0.18893	2
0.66382	0.75882	0.18881	2
0.67803	0.77255	0.19182	2
0.78033	0.87843	0.21028	2
0.7342	0.87843	0.24381	2
0.72948	0.87843	0.26771	2
0.65822	0.78039	0.19111	2
0.68111	0.79608	0.18624	2
0.75167	0.93725	0.24795	2
0.75317	0.93333	0.22327	2
0.67233	0.80392	0.20889	2
0.71429	1	0.2	2
0.81146	0.98824	0.1899	2
0.75139	1	0.17647	2
0.76695	1	0.18431	2
0.54748	0.9043	0.97647	5
0.57882	0.86728	0.96471	5
0.59529	0.91629	0.99216	5
0.55825	0.89925	0.94902	5
0.51099	0.87574	0.93333	5
0.51844	0.85936	0.94118	5
0.72594	0.77647	0.35331	4
0.66513	0.73333	0.3373	4
0.23725	0.47451	0.47451	4
0.47075	0.58431	0.27675	4
0.52896	0.5451	0.21163	4
0.26733	0.43922	0.20401	4
0.56301	0.59608	0.2881	4
0.6994	0.75686	0.35982	4
0.77033	0.8	0.39333	4
0.59458	0.63137	0.31316	4
0.5175	0.58824	0.26531	4
0.64321	0.74118	0.41275	4
0.32026	0.60392	0.41481	4
0.25547	0.31768	0.45098	5
0.25344	0.31224	0.41961	5
0.26688	0.3376	0.45882	5
0.2581	0.32442	0.43922	5
0.2314	0.28791	0.43137	5
0.22601	0.26131	0.39608	5
0.14481	0.1695	0.31765	5
0.19333	0.22055	0.33333	5
0.19902	0.22191	0.34118	5
0.18343	0.2026	0.31765	5
0.24	0.28308	0.4	5
0.21793	0.27209	0.38039	5
0.21807	0.24541	0.36471	5
0.16941	0.19216	0.30588	5
0.23161	0.28954	0.39608	5
0.27296	0.34273	0.45098	5
0.22487	0.26277	0.37647	5
0.18525	0.22219	0.36471	5
0.23589	0.2801	0.38431	5
0.27663	0.33978	0.44314	5
0.27356	0.34561	0.43333	5
0.30332	0.38998	0.48627	5
0.26343	0.32106	0.42745	5
0.26794	0.33815	0.41961	5
0.24906	0.29334	0.38824	5
0.14411	0.17371	0.29804	5
0.20974	0.25741	0.33725	5
0.2554	0.31889	0.39216	5
0.29391	0.36367	0.4549	5
0.17059	0.2016	0.3098	5
0.12941	0.066937	0.084508	3
0.17255	0.086275	0.11863	3
0.14902	0.099346	0.11531	3
0.13333	0.1	0.10833	3
0.14902	0.099346	0.11425	3
0.14902	0.099346	0.11531	3
0.1451	0.10007	0.11508	3
0.12941	0.091667	0.10038	3
0.16078	0.11001	0.12693	3
0.14902	0.099346	0.11425	3
0.9451	0.77495	0.15044	4
0.99216	0.77451	0.14785	4
0.69412	0.57082	0.11705	4
0.98431	0.74653	0.1351	4
0.6549	0.53751	0.12841	4
0.74076	0.91765	0.56387	2
0.67819	0.89804	0.3528	2
0.69914	0.98824	0.24218	2
0.65689	0.98824	0.32554	2
0.63732	0.9451	0.2372	2
0.63476	0.93333	0.20823	2
0.69928	0.92157	0.16756	2
0.65848	0.99608	0.24298	2
0.70499	0.9098	0.20694	2
0.59254	0.73333	0.3389	2
0.58622	0.72941	0.34444	2
0.61749	0.93725	0.29772	2
0.096708	0.15278	0.43922	5
0.11111	0.17473	0.43137	5
0.1019	0.16436	0.43922	5
0.092787	0.15275	0.41569	5
0.087329	0.12537	0.42745	5
0.22816	0.27363	0.62745	5
0.10893	0.19543	0.4902	5
0.11114	0.19844	0.50588	5
0.090498	0.16051	0.47059	5
0.1365	0.20639	0.52941	5
0.12091	0.1997	0.5098	5
0.090856	0.15525	0.45882	5
0.1102	0.1862	0.4902	5
0.81569	0.15994	0.41588	3
0.94118	0.22514	0.53202	3
0.78039	0.17176	0.43014	3
0.70196	0.15114	0.36837	3
0.78431	0.17967	0.42468	3
0.73333	0.1668	0.39421	3
0.64314	0.14069	0.33542	3
0.77647	0.14313	0.36953	3
0.83137	0.17286	0.41866	3
0.58431	0.30361	0.46348	3
0.46275	0.24842	0.36898	3
0.92549	0.16332	0.45162	3
0.72941	0.16604	0.39579	3
0.96874	0.99608	0.97557	8
0.99216	0.98342	0.96471	8
0.96667	0.95238	0.91448	8
0.24466	0.3086	0.37255	5
0.24314	0.30772	0.36471	5
0.282	0.35482	0.44314	5
