;R	G	B	Name
1	0.92381	0.2	2
0.98824	0.83997	0.1899	2
1	0.89123	0.17647	2
1	0.88347	0.18431	2
0.54748	0.97647	0.59559	5
0.57882	0.96471	0.64377	5
0.59529	0.99216	0.64587	5
0.55825	0.94902	0.59143	5
0.51099	0.93333	0.54938	5
0.51844	0.94118	0.57299	5
0.77647	0.6691	0.35331	4
0.73333	0.64679	0.3373	4
0.23725	0.47451	0.23725	4
0.58431	0.5575	0.27675	4
0.5451	0.4447	0.21163	4
0.40303	0.43922	0.20401	4
0.59608	0.51547	0.2881	4
0.75686	0.66283	0.35982	4
0.8	0.68422	0.39333	4
0.63137	0.54983	0.31316	4
0.58824	0.52775	0.26531	4
0.74118	0.69701	0.41275	4
0.44633	0.60392	0.32026	4
0.25547	0.45098	0.34434	5
0.25344	0.41961	0.32502	5
0.26688	0.45882	0.3477	5
0.2581	0.43922	0.33463	5
0.2314	0.43137	0.32704	5
0.22601	0.39608	0.31586	5
0.14481	0.31765	0.24357	5
0.19333	0.33333	0.26852	5
0.19902	0.34118	0.27853	5
0.18343	0.31765	0.26013	5
0.24	0.4	0.31795	5
0.21793	0.38039	0.29014	5
0.21807	0.36471	0.2976	5
0.16941	0.30588	0.24523	5
0.23161	0.39608	0.30263	5
0.27296	0.45098	0.34513	5
0.22487	0.37647	0.30067	5
0.18525	0.36471	0.28025	5
0.23589	0.38431	0.30536	5
0.27663	0.44314	0.34553	5
0.27356	0.43333	0.33204	5
0.30332	0.48627	0.36751	5
0.26343	0.42745	0.33436	5
0.26794	0.41961	0.32225	5
0.24906	0.38824	0.31232	5
0.14411	0.29804	0.22699	5
0.20974	0.33725	0.26297	5
0.2554	0.39216	0.30424	5
0.29391	0.4549	0.35473	5
0.17059	0.3098	0.24273	5
0.066937	0.078651	0.12941	3
0.086275	0.10784	0.17255	3
0.099346	0.10999	0.14902	3
0.1	0.10556	0.13333	3
0.099346	0.10928	0.14902	3
0.099346	0.10999	0.14902	3
0.10007	0.11007	0.1451	3
0.091667	0.097474	0.12941	3
0.11001	0.12129	0.16078	3
0.099346	0.10928	0.14902	3
0.9451	0.56678	0.15044	4
0.99216	0.56562	0.14785	4
0.69412	0.41956	0.11705	4
0.98431	0.54272	0.1351	4
0.6549	0.40114	0.12841	4
0.91765	0.91765	0.56387	2
0.89804	0.86286	0.3528	2
0.98824	0.93228	0.24218	2
0.98824	0.98824	0.32554	2
0.9451	0.91432	0.2372	2
0.93333	0.89068	0.20823	2
0.92157	0.81843	0.16756	2
0.99608	0.97011	0.24298	2
0.9098	0.81205	0.20694	2
0.73333	0.69572	0.3389	2
0.72941	0.69655	0.34444	2
0.93725	0.93725	0.29772	2
0.096708	0.43922	0.28766	5
0.11111	0.43137	0.28221	5
0.1019	0.43922	0.28513	5
0.092787	0.41569	0.26808	5
0.087329	0.42745	0.28872	5
0.22816	0.62745	0.46405	5
0.10893	0.4902	0.30544	5
0.11114	0.50588	0.3161	5
0.090498	0.47059	0.29721	5
0.1365	0.52941	0.35185	5
0.12091	0.5098	0.32764	5
0.090856	0.45882	0.29324	5
0.1102	0.4902	0.31286	5
0.15994	0.33057	0.81569	3
0.22514	0.42972	0.94118	3
0.17176	0.34402	0.78039	3
0.15114	0.29596	0.70196	3
0.17967	0.34301	0.78431	3
0.1668	0.31841	0.73333	3
0.14069	0.27051	0.64314	3
0.14313	0.29406	0.77647	3
0.17286	0.33673	0.83137	3
0.30361	0.41019	0.58431	3
0.24842	0.32879	0.46275	3
0.16332	0.35552	0.92549	3
0.16604	0.31921	0.72941	3
0.98241	0.99608	0.96874	8
0.99216	0.97718	0.96471	8
0.96667	0.93975	0.91448	8
0.24466	0.37255	0.28729	5
0.24314	0.36471	0.28113	5
0.282	0.44314	0.34087	5
0.39991	0.56863	0.48989	5
0.42144	0.59216	0.51628	5
0.28549	0.4549	0.38303	5
0.35635	0.52549	0.45783	5
0.36275	0.58039	0.49523	5
0.25022	0.42745	0.31466	5
0.31217	0.51765	0.42281	5
0.37107	0.58039	0.5019	5
