;R	G	B	Name
0.074249	0.38362	0.32326	5
0.0892	0.40909	0.34425	5
0.094394	0.40455	0.34082	5
0.089582	0.40909	0.34426	5
0.084695	0.41818	0.35231	5
0.089942	0.40909	0.34426	5
0.090909	0.40909	0.34416	5
0.082265	0.41818	0.35246	5
0.081579	0.42273	0.35616	5
0.084632	0.41818	0.3523	5
0.090562	0.40909	0.34439	5
0.13521	0.36585	0.32426	5
0.12875	0.37398	0.33133	5
0.14177	0.36585	0.32416	5
0.14943	0.36179	0.32161	5
0.13167	0.36992	0.32756	5
0.12771	0.36992	0.3278	5
0.14105	0.36585	0.32422	5
0.14943	0.36179	0.32161	5
0.14897	0.36179	0.32153	5
0.12805	0.36992	0.32743	5
0.028571	0.021429	0.042857	7
0.028571	0.021429	0.042857	7
0.028571	0.021429	0.042857	7
0.03	0.021429	0.042857	7
0.033333	0.02381	0.047619	7
0.028571	0.021429	0.042857	7
0.033333	0.02381	0.047619	7
0.029464	0.021429	0.042857	7
0.028571	0.021429	0.042857	7
0.033333	0.02381	0.047619	7
0.052416	0.054873	0.072072	7
0.065489	0.065489	0.094595	7
0.063063	0.063063	0.09009	7
0.065489	0.065489	0.094595	7
0.055305	0.057964	0.076577	7
0.054698	0.054698	0.076577	7
0.061133	0.061133	0.085586	7
0.065489	0.065489	0.094595	7
0.052853	0.056056	0.072072	7
0.054698	0.056687	0.076577	7
0.10661	0.11892	0.14352	7
0.11111	0.12361	0.15278	7
0.10764	0.12045	0.14352	7
0.10764	0.12069	0.14352	7
0.10826	0.12156	0.14815	7
0.10893	0.122	0.14815	7
0.1095	0.12238	0.14815	7
0.10811	0.12062	0.14815	7
0.10764	0.12069	0.14352	7
0.10764	0.12069	0.14352	7
0.049065	0.043614	0.065421	7
0.049065	0.043614	0.065421	7
0.049065	0.043614	0.065421	7
0.049065	0.044977	0.065421	7
0.049065	0.043614	0.065421	7
0.049065	0.043614	0.065421	7
0.049065	0.043614	0.065421	7
0.049065	0.044977	0.065421	7
0.048893	0.044761	0.065421	7
0.049065	0.044977	0.065421	7
0.042133	0.0395	0.0553	7
0.048387	0.043011	0.064516	7
0.052666	0.046083	0.069124	7
0.048387	0.043011	0.064516	7
0.042133	0.0395	0.0553	7
0.051843	0.046083	0.069124	7
0.042133	0.0395	0.0553	7
0.051843	0.046083	0.069124	7
0.04553	0.041935	0.059908	7
0.051843	0.046083	0.069124	7
0.099526	0.12538	0.17062	7
0.099526	0.12538	0.17062	7
0.099526	0.12538	0.17062	7
0.096761	0.12189	0.16588	7
0.099526	0.12538	0.17062	7
0.099526	0.12538	0.17062	7
0.099067	0.12482	0.17062	7
0.097362	0.12274	0.16588	7
0.099526	0.12538	0.17062	7
0.10117	0.12766	0.17536	7
0.046729	0.037383	0.056075	7
0.0499	0.039052	0.060748	7
0.04486	0.037383	0.056075	7
0.04486	0.037383	0.056075	7
0.050027	0.039307	0.060748	7
0.050393	0.040038	0.060748	7
0.0499	0.039052	0.060748	7
0.04486	0.037383	0.056075	7
0.045394	0.037383	0.056075	7
0.050623	0.040498	0.060748	7
0.049763	0.035545	0.056872	7
0.046836	0.0368	0.056872	7
0.0486	0.036191	0.056872	7
0.0486	0.036191	0.056872	7
0.0486	0.036191	0.056872	7
0.048491	0.035919	0.056872	7
0.046716	0.036561	0.056872	7
0.0486	0.036191	0.056872	7
0.0486	0.036191	0.056872	7
0.046716	0.036561	0.056872	7
0.12738	0.17969	0.4246	3
0.12782	0.18058	0.42857	3
0.13258	0.18457	0.41667	3
0.13259	0.18477	0.42063	3
0.1294	0.18174	0.4246	3
0.13243	0.18411	0.41667	3
0.12906	0.18089	0.42063	3
0.12582	0.1783	0.42857	3
0.12675	0.179	0.4246	3
0.13306	0.18534	0.42063	3
0.15781	0.20578	0.40329	3
0.15081	0.19848	0.41564	3
0.15009	0.19751	0.41564	3
0.15432	0.20195	0.41152	3
0.14748	0.19525	0.41975	3
0.15323	0.2005	0.41152	3
0.15323	0.20058	0.41152	3
0.14736	0.19515	0.41975	3
0.15627	0.20376	0.41152	3
0.15564	0.20272	0.40741	3
0.12078	0.18942	0.47773	3
0.12081	0.18945	0.47773	3
0.12095	0.18972	0.47773	3
0.12376	0.19192	0.47368	3
0.12054	0.19049	0.48583	3
0.12618	0.19255	0.46154	3
0.12221	0.19094	0.47773	3
0.12527	0.19164	0.46154	3
0.12737	0.19259	0.45344	3
0.12587	0.19218	0.46154	3
0.13027	0.18168	0.44444	3
0.13614	0.18582	0.43111	3
0.13027	0.18168	0.44444	3
0.1363	0.18566	0.42667	3
0.13288	0.18333	0.43556	3
0.13199	0.18258	0.43556	3
0.13199	0.18258	0.43556	3
0.1327	0.18392	0.44	3
0.13964	0.18884	0.42667	3
0.13884	0.18798	0.42667	3
0.139	0.18107	0.35743	3
0.13999	0.18242	0.35743	3
0.13877	0.18064	0.35743	3
0.13862	0.18063	0.36546	3
0.1404	0.183	0.35341	3
0.13946	0.18155	0.35341	3
0.13843	0.18024	0.36145	3
0.13911	0.18117	0.3494	3
0.139	0.18101	0.35743	3
0.13965	0.18171	0.36546	3
0.17328	0.24053	0.4332	3
0.1712	0.23892	0.44939	3
0.17102	0.23862	0.45749	3
0.17363	0.24105	0.4332	3
0.17284	0.2405	0.4413	3
0.17363	0.24105	0.4332	3
0.1733	0.24111	0.4413	3
0.17284	0.2405	0.4413	3
0.17129	0.23922	0.44534	3
0.17004	0.23741	0.45344	3
0.145	0.20217	0.39271	3
0.14406	0.20048	0.39271	3
0.14423	0.20204	0.38462	3
0.14375	0.19998	0.39676	3
0.14468	0.20161	0.39271	3
0.14266	0.19798	0.40081	3
0.14289	0.19782	0.40486	3
0.14431	0.20219	0.38866	3
0.14396	0.2	0.40081	3
0.14262	0.19751	0.40486	3
0.11472	0.16478	0.42063	3
0.11534	0.16546	0.42063	3
0.11574	0.1655	0.41667	3
0.11933	0.16874	0.4127	3
0.11574	0.1655	0.41667	3
0.11472	0.16478	0.42063	3
0.11649	0.16652	0.41667	3
0.11765	0.16748	0.41667	3
0.11973	0.16922	0.41667	3
0.11973	0.16955	0.41667	3
0.15361	0.20208	0.42241	3
0.15489	0.20353	0.42241	3
0.15123	0.20064	0.43534	3
0.14799	0.19825	0.44397	3
0.14799	0.19825	0.44397	3
0.14871	0.1983	0.43966	3
0.14965	0.19884	0.43534	3
0.14965	0.19875	0.43534	3
0.14967	0.19918	0.43966	3
0.15409	0.20303	0.42672	3
0.17152	0.24944	0.46215	3
0.16869	0.24615	0.49402	3
0.17136	0.24918	0.46215	3
0.17072	0.2487	0.49004	3
0.17072	0.2487	0.49004	3
0.17163	0.25035	0.47012	3
0.16836	0.24556	0.49004	3
0.17304	0.2517	0.45817	3
0.17315	0.25116	0.4502	3
0.17077	0.24873	0.49004	3
0.22871	0.33063	0.56225	3
0.23225	0.33464	0.5502	3
0.2233	0.32393	0.57028	3
0.23044	0.33268	0.55422	3
0.21934	0.31918	0.57028	3
0.22858	0.32989	0.56627	3
0.22849	0.32982	0.56627	3
0.21848	0.31785	0.5743	3
0.21454	0.31322	0.58233	3
0.2198	0.31993	0.57028	3
0.17439	0.23741	0.46429	3
0.17241	0.23526	0.47619	3
0.1747	0.23776	0.46032	3
0.17479	0.23795	0.46429	3
0.17536	0.23868	0.46032	3
0.17505	0.23844	0.46032	3
0.1718	0.23347	0.48016	3
0.17536	0.23868	0.46032	3
0.1748	0.23784	0.46032	3
0.17189	0.23442	0.47619	3
0.12052	0.18309	0.48207	3
0.12925	0.1895	0.46614	3
0.12793	0.18931	0.4741	3
0.12204	0.18466	0.48207	3
0.11952	0.18272	0.48606	3
0.12793	0.18931	0.4741	3
0.13204	0.19206	0.46215	3
0.12197	0.1846	0.48207	3
0.13161	0.19178	0.46614	3
0.13393	0.19348	0.45817	3
0.14425	0.21377	0.45418	3
0.14862	0.21923	0.44223	3
0.15049	0.22207	0.43426	3
0.14869	0.21956	0.43825	3
0.15142	0.22333	0.43426	3
0.14435	0.2135	0.45817	3
0.14741	0.21799	0.44622	3
0.15105	0.22277	0.43426	3
0.14343	0.21197	0.46614	3
0.14932	0.22011	0.44223	3
0.82151	0.90377	0.52654	2
0.84493	0.93724	0.53725	2
0.85221	0.94979	0.53649	2
0.8476	0.94142	0.53651	2
0.82131	0.90377	0.52583	2
0.84746	0.94142	0.53589	2
0.81592	0.8954	0.5245	2
0.84699	0.94142	0.5357	2
0.85542	0.95397	0.53886	2
0.85931	0.96234	0.53956	2
0.92934	1	0.5375	2
0.92821	1	0.53527	2
0.93412	1	0.54357	2
0.92739	1	0.53527	2
0.94058	0.99585	0.55371	2
0.94058	0.99585	0.55371	2
0.9316	1	0.53942	2
0.94006	0.99585	0.55278	2
0.9329	1	0.54286	2
0.92567	1	0.53138	2
0.94113	1	0.54211	2
0.93745	1	0.53478	2
0.94138	1	0.54274	2
0.94041	1	0.54077	2
0.93678	1	0.53419	2
0.93357	1	0.52991	2
0.94284	1	0.54274	2
0.93961	1	0.53846	2
0.94284	1	0.54274	2
0.93918	1	0.53846	2
0.91876	0.99573	0.55318	2
0.91786	1	0.55066	2
0.92452	0.99573	0.56169	2
0.91506	1	0.54701	2
0.91334	1	0.54505	2
0.91369	1	0.54545	2
0.92081	0.99573	0.55744	2
0.91723	1	0.54936	2
0.91611	1	0.54701	2
0.91786	1	0.55066	2
0.84302	1	0.46364	2
0.84356	1	0.46364	2
0.83258	1	0.45909	2
0.83498	1	0.45909	2
0.84871	1	0.46818	2
0.83761	1	0.46154	2
0.83498	1	0.45909	2
0.83538	1	0.45909	2
0.84091	1	0.46364	2
0.83538	1	0.45909	2
0.90101	1	0.48444	2
0.89752	1	0.48	2
0.90051	1	0.48413	2
0.89721	1	0.48	2
0.90128	1	0.48444	2
0.90788	1	0.49333	2
0.89577	1	0.47887	2
0.89676	1	0.48	2
0.90099	1	0.48444	2
0.91266	1	0.49778	2
0.91956	1	0.52542	2
0.91549	1	0.52113	2
0.91312	1	0.51695	2
0.92338	0.99576	0.53164	2
0.91935	1	0.52542	2
0.92436	0.99576	0.53164	2
0.92068	0.99576	0.52819	2
0.92161	1	0.52966	2
0.91581	1	0.52119	2
0.91765	1	0.52308	2
0.88846	1	0.48246	2
0.89831	1	0.49561	2
0.90278	1	0.5	2
0.89061	1	0.48673	2
0.89145	1	0.48684	2
0.89072	1	0.48684	2
0.8909	1	0.48684	2
0.88846	1	0.48246	2
0.89912	1	0.49561	2
0.90152	1	0.5	2
0.8613	0.98755	0.52041	2
0.86304	0.98755	0.52063	2
0.86279	0.9917	0.52089	2
0.86279	0.9917	0.52089	2
0.85282	0.99585	0.51176	2
0.86164	0.99585	0.51867	2
0.85098	0.99585	0.5095	2
0.86304	0.98755	0.52063	2
0.85336	0.99585	0.51239	2
0.86181	0.99585	0.51867	2
0.90258	1	0.52174	2
0.89296	1	0.51163	2
0.89825	1	0.51765	2
0.89953	0.99585	0.52065	2
0.89818	1	0.51744	2
0.89274	1	0.51136	2
0.90273	1	0.52174	2
0.89199	1	0.51037	2
0.89565	1	0.51452	2
0.89597	1	0.51452	2
0.86354	0.98361	0.58855	2
0.86205	0.98361	0.58855	2
0.85933	0.97131	0.58518	2
0.86149	0.97951	0.5861	2
0.86428	0.9918	0.58939	2
0.86376	0.9877	0.58696	2
0.86081	0.97951	0.5861	2
0.86274	0.9877	0.58696	2
0.85148	0.95902	0.57777	2
0.86185	0.97951	0.5861	2
0.96412	1	0.65714	2
0.96147	1	0.6556	2
0.96064	0.98755	0.65564	2
0.96254	0.9917	0.65839	2
0.96051	0.98755	0.65564	2
0.96336	0.99585	0.65701	2
0.96375	1	0.6556	2
0.96559	1	0.65975	2
0.96197	0.99585	0.65701	2
0.96393	0.9917	0.65839	2
0.90682	1	0.57205	2
0.89986	1	0.56757	2
0.91036	1	0.57205	2
0.90444	1	0.56769	2
0.9119	1	0.57642	2
0.90991	1	0.57205	2
0.90517	1	0.56853	2
0.90682	1	0.57205	2
0.90024	1	0.56769	2
0.90393	1	0.56769	2
1	1	0.84454	2
1	1	0.85217	2
1	1	0.84034	2
1	1	0.84034	2
1	1	0.82773	2
1	1	0.83193	2
1	1	0.83838	2
1	1	0.82927	2
1	1	0.85039	2
1	1	0.84034	2
0.57258	0.40104	0.33977	1
0.58871	0.45239	0.33879	1
0.57258	0.40374	0.33881	1
0.56452	0.39105	0.34003	1
0.56855	0.39642	0.33904	1
0.58065	0.42397	0.33851	1
0.58871	0.43969	0.34035	1
0.58065	0.42246	0.33871	1
0.57258	0.40075	0.3401	1
0.58468	0.42885	0.33981	1
0.54393	0.34577	0.29541	1
0.5523	0.35234	0.28859	1
0.54812	0.34688	0.29392	1
0.55649	0.35759	0.28392	1
0.55649	0.35744	0.2828	1
0.5523	0.35259	0.28601	1
0.55649	0.35744	0.2828	1
0.56067	0.36268	0.27469	1
0.5523	0.35248	0.291	1
0.54393	0.345	0.29402	1
0.55242	0.55242	0.33388	1
0.54232	0.55645	0.33039	1
0.53351	0.55645	0.32699	1
0.5403	0.55645	0.33028	1
0.54839	0.50638	0.33837	1
0.54032	0.42483	0.33822	1
0.54839	0.53184	0.33333	1
0.55242	0.55242	0.33464	1
0.54435	0.4823	0.3375	1
0.55242	0.55242	0.33502	1
0.52823	0.29121	0.22833	1
0.52419	0.29517	0.23568	1
0.52419	0.29517	0.23568	1
0.52016	0.30457	0.25155	1
0.52823	0.29116	0.22819	1
0.52016	0.30457	0.25155	1
0.53226	0.29166	0.22483	1
0.52016	0.30054	0.24563	1
0.52419	0.30305	0.24733	1
0.52016	0.30264	0.24826	1
0.52632	0.35483	0.29376	1
0.54656	0.43058	0.28883	1
0.52632	0.35492	0.29278	1
0.52632	0.35419	0.29383	1
0.52227	0.35311	0.29769	1
0.52632	0.35472	0.29343	1
0.52227	0.35261	0.29606	1
0.54251	0.38309	0.29009	1
0.52632	0.35454	0.29376	1
0.54251	0.39719	0.28821	1
0.73109	0.4617	0.39435	1
0.71429	0.48728	0.43506	1
0.73109	0.46447	0.39878	1
0.71008	0.49277	0.4438	1
0.73109	0.4641	0.39794	1
0.72689	0.46408	0.40016	1
0.73529	0.45178	0.37926	1
0.71849	0.48391	0.42978	1
0.71429	0.49251	0.44218	1
0.71429	0.49139	0.44073	1
0.68924	0.5591	0.47036	1
0.68526	0.55548	0.4776	1
0.68526	0.55467	0.4785	1
0.67331	0.54318	0.48404	1
0.68924	0.55949	0.46433	1
0.67331	0.5455	0.48869	1
0.68924	0.55949	0.46433	1
0.67331	0.54474	0.48884	1
0.68526	0.5566	0.47389	1
0.69323	0.56485	0.46215	1
0.59438	0.38998	0.29913	1
0.57831	0.37607	0.32771	1
0.58233	0.37121	0.3172	1
